 Theta CM  -  gs  -  first  -  second  -  third 
1 18 1  0 0 -96.5974 
212 0 0  0 0 0 
213 0 0  0 0 0 
214 0 0  0 0 0 
215 0 0  0 0 0 
216 0 0  0 0 0 
217 0 0  0 0 0 
218 0 0  0 0 0 
219 0 0  0 0 0 
220 0 1  0 0 0 
221 0 0  0 0 0 
222 0 0  0 0 0 
223 0 0  0 0 0 
224 0 0  0 0 0 
225 0 1  0 0 0 
226 0 0  0 0 0 
227 0 0  0 0 0 
228 0 1  0 0 0 
229 0 0  0 0 0 
230 0 0  0 0 0 
231 0 0  0 0 0 
232 0 0  0 0 0 
233 0 0  0 0 0 
234 0 0  0 0 0 
235 0 0  0 0 0 
236 0 0  0 0 0 
237 0 0  0 0 0 
238 0 0  0 0 0 
239 0 1  0 0 0 
240 0 0  0 0 0 
241 0 0  0 0 0 
242 0 0  0 0 0 
243 0 0  0 0 0 
244 0 0  0 0 0 
245 0 0  0 0 0 
246 0 0  0 0 0 
247 0 0  0 0 0 
248 0 0  0 0 0 
249 0 0  0 0 0 
250 0 0  0 0 0 
251 0 0  0 0 0 
252 0 0  0 0 0 
253 0 0  0 0 0 
254 0 0  0 0 0 
255 0 0  0 0 0 
256 0 0  0 0 0 
257 0 0  0 0 0 
258 0 0  0 0 0 
259 0 0  0 0 0 
260 0 0  0 0 0 
261 0 0  0 0 0 
262 0 0  0 0 0 
263 0 0  0 0 0 
264 0 0  0 0 0 
265 0 0  0 0 0 
266 0 0  0 0 -0 
267 0 0  0 0 -0 
268 0 0  0 0 -0 
269 0 0  0 0 -0 
270 0 0  0 0 -0 
271 0 0  0 0 -0 
272 0 0  0 0 -0 
273 0 0  0 0 -0 
274 0 0  0 0 -0 
275 0 0  0 0 -0 
276 0 0  0 0 -0 
277 0 0  0 0 -0 
278 0 0  0 0 -0 
279 0 0  0 0 -0 
280 0 0  0 0 -0 
281 0 0  0 0 -0 
282 0 0  0 0 -0 
283 0 0  0 0 -0 
284 0 0  0 0 -0 
285 0 0  0 0 -0 
286 0 0  0 0 -0 
287 0 0  0 0 -0 
288 0 0  0 0 -0 
289 0 0  0 0 -0 
290 0 0  0 0 -0 
291 0 1  0 0 -0 
292 0 0  0 0 -0 
293 0 0  0 0 -0 
294 0 0  0 0 -0 
295 0 0  0 0 -0 
296 0 0  0 0 -0 
297 0 0  0 0 -0 
298 0 0  0 0 -0 
299 0 0  0 0 -0 
300 0 0  0 0 -0 
301 0 0  0 0 -0 
302 0 0  0 0 -0 
303 0 0  0 0 -0 
304 0 0  0 0 -0 
305 0 0  0 0 -0 
306 0 0  0 0 -0 
307 0 0  0 0 -0 
308 0 0  0 0 -0 
309 0 0  0 0 -0 
310 0 0  0 0 -0 
311 0 0  0 0 -0 
312 0 0  0 0 -0 
313 0 0  0 0 -0 
314 0 0  0 0 -0 
315 0 0  0 0 -0 
316 0 0  0 0 -0 
317 0 0  0 0 -0 
318 0 0  0 0 -0 
319 0 0  0 0 -0 
320 0 0  0 0 -0 
321 0 0  0 0 -0 
322 0 0  0 0 -0 
323 0 1  0 0 -0 
324 0 1  0 0 -0 
325 0 2  0 0 -0 
326 0 0  0 0 -0 
327 0 2  0 0 -0 
328 0 5  0 0 -0 
329 0 4  0 0 -0 
330 0 5  0 0 -0 
331 0 4  0 0 -0 
332 0 13  0 0 -0 
333 0 7  0 0 -0 
334 0 16  0 0 -0 
335 0 19  0 0 -0 
336 0 29  0 0 -0 
337 0 22  0 0 -0 
338 0 31  0 0 -0 
339 0 33  0 0 -0 
340 0 28  0 0 -0 
341 0 25  0 0 -0 
342 0 29  0 0 -0 
343 0 38  0 0 -0 
344 0 33  0 0 -0 
345 0 31  0 0 -0 
346 0 29  0 0 -0 
347 0 19  0 0 -0 
348 0 31  0 0 -0 
349 0 23  0 0 -0 
350 0 26  0 0 -0 
351 0 24  0 0 -0 
352 0 22  0 0 -0 
353 0 25  0 0 -0 
354 0 22  0 0 -0 
355 0 24  0 0 -0 
356 0 19  0 0 -0 
357 0 27  0 0 -0 
358 0 32  0 0 -0 
359 0 22  0 0 -0 
